city,country,admin_name,capital,population,id
Highland Heights,United States,Ohio,,8373.0,1840000605
Riverbank,United States,California,,24881.0,1840020286
Balagtas,Philippines,Bulacan,,73929.0,1608000709
Gonzales,United States,Louisiana,,10957.0,1840013965
Westland,United States,Michigan,,81511.0,1840001847
Feltham,United Kingdom,Hounslow,,63368.0,1826165560
Whistler,Canada,British Columbia,,11854.0,1124001562
Streamwood,United States,Illinois,,39228.0,1840011328
Warminster,United Kingdom,Wiltshire,,17490.0,1826602244
Zwolle,Netherlands,Overijssel,admin,111805.0,1528690076
Murray,United States,Utah,,48917.0,1840020159
Chessy,France,Île-de-France,,5969.0,1250777882
Fernley,United States,Nevada,,21476.0,1840020214
Wigan,United Kingdom,Wigan,,103608.0,1826902223
